Date,Close,Position,Trade,Shares,Cash,Portfolio_Value,Returns,Cumulative_Returns,BuyHold_Value,BuyHold_Returns,BuyHold_Cumulative
2024-01-02,248.4199981689453,0,,0.0,100000.0,100000.0,,,100000.0,,
2024-01-03,238.4499969482422,0,0.0,0.0,100000.0,100000.0,0.0,0.0,95986.63501562273,-0.04013364984377277,-0.04013364984377277
2024-01-04,237.92999267578125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,95777.31037336614,-0.002180768627033536,-0.04222689626633869
2024-01-05,237.49000549316406,0,0.0,0.0,100000.0,100000.0,0.0,0.0,95600.19613704852,-0.00184922958921252,-0.0439980386295149
2024-01-08,240.4499969482422,0,0.0,0.0,100000.0,100000.0,0.0,0.0,96791.72317871008,0.012463646412957496,-0.03208276821289935
2024-01-09,234.9600067138672,0,0.0,0.0,100000.0,100000.0,0.0,0.0,94581.76010212985,-0.02283214932024602,-0.054182398978701585
2024-01-10,233.94000244140625,0,0.0,0.0,100000.0,100000.0,0.0,0.0,94171.16341910142,-0.0043411825132569914,-0.05828836580898589
2024-01-11,227.22000122070312,0,0.0,0.0,100000.0,100000.0,0.0,0.0,91466.0666997411,-0.028725319101363223,-0.085339333002589
2024-01-12,218.88999938964844,0,0.0,0.0,100000.0,100000.0,0.0,0.0,88112.87376340204,-0.03666051309877261,-0.11887126236597967
2024-01-16,219.91000366210938,0,0.0,0.0,100000.0,100000.0,0.0,0.0,88523.47044643045,0.004659894354722027,-0.11476529553569559
2024-01-17,215.5500030517578,0,0.0,0.0,100000.0,100000.0,0.0,0.0,86768.37800520661,-0.019826295019532925,-0.13231621994793397
2024-01-18,211.8800048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,85291.04196302155,-0.017026203279914,-0.1470895803697846
2024-01-19,212.19000244140625,0,0.0,0.0,100000.0,100000.0,0.0,0.0,85415.82964552645,0.0014630807600990448,-0.14584170354473558
2024-01-22,208.8000030517578,0,0.0,0.0,100000.0,100000.0,0.0,0.0,84051.20545478679,-0.015976244642273207,-0.15948794545213218
2024-01-23,209.13999938964844,0,0.0,0.0,100000.0,100000.0,0.0,0.0,84188.06896835119,0.0016283349277843584,-0.15811931031648807
2024-01-24,207.8300018310547,0,0.0,0.0,100000.0,100000.0,0.0,0.0,83660.7372043026,-0.006263735117226998,-0.16339262795697396
2024-01-25,182.6300048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,73516.627577869,-0.12125293136804793,-0.2648337242213099
2024-01-26,183.25,0,0.0,0.0,100000.0,100000.0,0.0,0.0,73766.2029428788,0.0033948152034781742,-0.262337970571212
2024-01-29,190.92999267578125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,76857.73854081333,0.04190991910385411,-0.23142261459186664
2024-01-30,191.58999633789062,0,0.0,0.0,100000.0,100000.0,0.0,0.0,77123.41910879262,0.0034567835721344142,-0.22876580891207376
2024-01-31,187.2899932861328,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75392.47832968776,-0.02244377647032403,-0.24607521670312238
2024-02-01,188.86000061035156,0,0.0,0.0,100000.0,100000.0,0.0,0.0,76024.47548603224,0.008382761388752824,-0.2397552451396775
2024-02-02,187.91000366210938,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75642.0598370328,-0.0050301649114266045,-0.24357940162967207
2024-02-05,181.05999755859375,0,0.0,0.0,100000.0,100000.0,0.0,0.0,72884.6304215245,-0.03645365318513327,-0.271153695784755
2024-02-06,185.10000610351562,0,0.0,0.0,100000.0,100000.0,0.0,0.0,74510.91195066868,0.0223130928940527,-0.2548908804933132
2024-02-07,187.5800018310547,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75509.21955304315,0.013398139631352501,-0.2449078044695685
2024-02-08,189.55999755859375,0,0.0,0.0,100000.0,100000.0,0.0,0.0,76306.25511464576,0.010555473441792307,-0.2369374488535424
2024-02-09,193.57000732421875,0,0.0,0.0,100000.0,100000.0,0.0,0.0,77920.46081273045,0.021154303741671487,-0.22079539187269548
2024-02-12,188.1300048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75730.62002635922,-0.028103539988478365,-0.2426937997364078
2024-02-13,184.02000427246094,0,0.0,0.0,100000.0,100000.0,0.0,0.0,74076.16360552129,-0.021846598116614824,-0.25923836394478716
2024-02-14,188.7100067138672,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75964.09633073477,0.025486372853585015,-0.24035903669265235
2024-02-15,200.4499969482422,0,0.0,0.0,100000.0,100000.0,0.0,0.0,80689.959916963,0.06221180550417693,-0.19310040083037006
2024-02-16,199.9499969482422,0,0.0,0.0,100000.0,100000.0,0.0,0.0,80488.68787619115,-0.0024943876658133357,-0.19511312123808855
2024-02-20,193.75999450683594,0,0.0,0.0,100000.0,100000.0,0.0,0.0,77996.93902866216,-0.030957752117438342,-0.2200306097133784
2024-02-21,194.77000427246094,0,0.0,0.0,100000.0,100000.0,0.0,0.0,78403.51248211582,0.00521268473502845,-0.2159648751788419
2024-02-22,197.41000366210938,0,0.0,0.0,100000.0,100000.0,0.0,0.0,79466.22861169772,0.013554445406056326,-0.2053377138830229
2024-02-23,191.97000122070312,0,0.0,0.0,100000.0,100000.0,0.0,0.0,77276.38782532648,-0.027556873210526134,-0.22723612174673524
2024-02-26,199.39999389648438,0,0.0,0.0,100000.0,100000.0,0.0,0.0,80267.28740287508,0.038703925762021196,-0.19732712597124935
2024-02-27,199.72999572753906,0,0.0,0.0,100000.0,100000.0,0.0,0.0,80400.12768686473,0.0016549741281637331,-0.19599872313135291
2024-02-28,202.0399932861328,0,0.0,0.0,100000.0,100000.0,0.0,0.0,81330.00353245699,0.01156560160219966,-0.18669996467543026
2024-02-29,201.8800048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,81265.60114758478,-0.0007918650199801869,-0.18734398852415246
2024-03-01,202.63999938964844,0,0.0,0.0,100000.0,100000.0,0.0,0.0,81571.53243831728,0.003764585340074067,-0.18428467561682738
2024-03-04,188.13999938964844,0,0.0,0.0,100000.0,100000.0,0.0,0.0,75734.64325593397,-0.07155546804023871,-0.24265356744066047
2024-03-05,180.74000549316406,0,0.0,0.0,100000.0,100000.0,0.0,0.0,72755.81950944485,-0.03933237971984149,-0.2724418049055517
2024-03-06,176.5399932861328,0,0.0,0.0,100000.0,100000.0,0.0,0.0,71065.12945309322,-0.02323786698783792,-0.2893487054690679
2024-03-07,178.64999389648438,0,0.0,0.0,100000.0,100000.0,0.0,0.0,71914.49771084379,0.011951969472048907,-0.28085502289156217
2024-03-08,175.33999633789062,0,0.0,0.0,100000.0,100000.0,0.0,0.0,70582.07778370786,-0.018527834714126223,-0.29417922216292136
2024-03-11,177.77000427246094,0,0.0,0.0,100000.0,100000.0,0.0,0.0,71560.2630958733,0.013858834181150081,-0.2843973690412669
2024-03-12,177.5399932861328,0,0.0,0.0,100000.0,100000.0,0.0,0.0,71467.6735346369,-0.0012938683737420131,-0.285323264653631
2024-03-13,169.47999572753906,0,0.0,0.0,100000.0,100000.0,0.0,0.0,68223.16922016851,-0.04539820808488937,-0.3177683077983149
2024-03-14,162.5,0,0.0,0.0,100000.0,100000.0,0.0,0.0,65413.41325084751,-0.04118477639544138,-0.3458658674915249
2024-03-15,163.57000732421875,0,0.0,0.0,100000.0,100000.0,0.0,0.0,65844.13836642014,0.006584660456730562,-0.34155861633579865
2024-03-18,173.8000030517578,0,0.0,0.0,100000.0,100000.0,0.0,0.0,69962.1626007581,0.0625420020142311,-0.30037837399241907
2024-03-19,171.32000732421875,0,0.0,0.0,100000.0,100000.0,0.0,0.0,68963.85499838364,-0.01426925019558567,-0.31036145001616366
2024-03-20,175.66000366210938,0,0.0,0.0,100000.0,100000.0,0.0,0.0,70710.89483812275,0.02533268825792967,-0.2928910516187725
2024-03-21,172.82000732421875,0,0.0,0.0,100000.0,100000.0,0.0,0.0,69567.67112069916,-0.01616757530845503,-0.3043232887930084
2024-03-22,170.8300018310547,0,0.0,0.0,100000.0,100000.0,0.0,0.0,68766.60618718657,-0.01151490226146501,-0.31233393812813437
2024-03-25,172.6300048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,69491.18676243222,0.010536808713131895,-0.3050881323756778
2024-03-26,177.6699981689453,0,0.0,0.0,100000.0,100000.0,0.0,0.0,71520.00623078486,0.029195349264770964,-0.2847999376921514
2024-03-27,179.8300018310547,0,0.0,0.0,100000.0,100000.0,0.0,0.0,72389.50292107965,0.012157391142962881,-0.2761049707892035
2024-03-28,175.7899932861328,0,0.0,0.0,100000.0,100000.0,0.0,0.0,70763.22139193547,-0.022465709302040393,-0.2923677860806453
2024-04-01,175.22000122070312,0,0.0,0.0,100000.0,100000.0,0.0,0.0,70533.77445946989,-0.003242460249156087,-0.2946622554053011
2024-04-02,166.6300048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,67075.92227317016,-0.049024062767074494,-0.32924077726829837
2024-04-03,168.3800048828125,0,0.0,0.0,100000.0,100000.0,0.0,0.0,67780.3744158716,0.01050231020055925,-0.322196255841284
2024-04-04,171.11000061035156,0,0.0,0.0,100000.0,100000.0,0.0,0.0,68879.31803863197,0.016213301154368365,-0.31120681961368024
2024-04-05,164.89999389648438,0,0.0,0.0,100000.0,100000.0,0.0,0.0,66379.51658961824,-0.036292482565110196,-0.3362048341038175
